Pacific Decadal Oscillation (PDO)
Date,Value
200606,-0.04
200607,0.12
200608,-1.13
200609,-1.75
200610,-0.60
200611,-0.83
200612,-0.54
200701,-0.63
200702,-0.63
200703,-1.05
200704,-0.56
200705,-0.53
200706,-0.37
200707,0.16
200708,-0.15
200709,-1.04
200710,-2.24
200711,-1.38
200712,-0.92
200801,-1.47
200802,-1.33
200803,-1.26
200804,-2.00
200805,-1.93
200806,-2.11
200807,-2.17
200808,-2.00
200809,-2.02
200810,-1.80
200811,-1.57
200812,-1.31
200901,-1.70
200902,-1.76
200903,-2.03
200904,-2.28
200905,-1.45
200906,-0.85
200907,-0.88
200908,-0.50
200909,0.19
200910,-0.23
200911,-1.01
200912,-0.51
201001,0.06
201002,0.16
201003,-0.21
201004,-0.28
201005,-0.36
201006,-0.94
201007,-2.16
201008,-2.44
201009,-2.44
201010,-1.60
201011,-1.58
201012,-1.99
201101,-1.73
201102,-1.45
201103,-1.29
201104,-1.26
201105,-0.97
201106,-1.32
201107,-2.49
201108,-2.59
201109,-2.63
201110,-1.95
201111,-2.96
201112,-2.32
201201,-1.72
201202,-1.27
201203,-1.62
201204,-0.94
201205,-2.01
201206,-1.43
201207,-2.34
201208,-2.51
201209,-3.05
201210,-1.22
201211,-0.59
201212,-1.25
201301,-0.94
201302,-1.32
201303,-1.19
201304,-0.63
201305,-0.42
201306,-1.26
201307,-1.77
201308,-1.79
201309,-1.10
201310,-1.90
201311,-1.18
201312,-1.15
201401,-0.60
201402,-0.42
201403,0.29
201404,0.41
201405,1.07
201406,-0.33
201407,0.13
201408,-0.06
201409,0.54
201410,1.33
201411,1.34
201412,1.93
201501,1.69
201502,1.74
201503,1.48
201504,0.89
201505,0.29
201506,0.63
201507,1.20
201508,0.67
201509,0.82
201510,0.74
201511,0.13
201512,0.52
201601,0.81
201602,1.25
201603,1.55
201604,1.62
201605,1.44
201606,0.78
201607,0.16
201608,-0.87
201609,-1.06
201610,-0.68
201611,0.84
201612,0.55
